Time,Ticket,SignalID,Pattern,Direction,Stage,EventType,EventReason,Detail,EntryPrice,RequestedEntryPrice,ExecutedEntryPrice,EventPrice,OldSL,NewSL,OriginalSL,OriginalTP1,TP2,RiskDistance,RiskMoney,OriginalLots,RemainingLots,CloseLots,EventPnL,PartialRealizedPnL,TotalRealizedPnL,CurrentR,MAE_R,MFE_R,AtBreakeven,TP0Closed,TP1Closed,TP2Closed,PartialCloseCount,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,MaxLockedR,Regime,Session,EngineName,EngineMode,DayType,BETime,ExitRequestTime,ExitRequestReason,ExitRequestPrice,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
2019.01.03 09:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,ENTRY_OPENED,Bullish MA Cross (Confirmed),risk=$106.95 | requested=1292.15 | fill=1292.15,1292.15,1292.15,1292.15,1292.15,1283.99,1283.99,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2019.01.03 22:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1284.34 (ATRx3.5),,1292.15,1292.15,1292.15,1293.36,1283.99,1284.34,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.15,0.93,0.16,NO,NO,NO,NO,0,1,0,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2019.01.03 22:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1284.34 (ATRx3.5),1292.15,1292.15,1292.15,1293.36,1283.99,1284.34,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.15,0.93,0.16,NO,NO,NO,NO,0,1,1,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.03 22:00
2019.01.03 23:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1286.06 (ATRx3.5),,1292.15,1292.15,1292.15,1294.90,1284.34,1286.06,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.34,0.93,0.34,NO,NO,NO,NO,0,2,1,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.03 22:00
2019.01.03 23:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1286.06 (ATRx3.5),1292.15,1292.15,1292.15,1294.90,1284.34,1286.06,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.34,0.93,0.34,NO,NO,NO,NO,0,2,2,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.03 23:00
2019.01.04 02:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1286.77 (ATRx3.5),,1292.15,1292.15,1292.15,1295.24,1286.06,1286.77,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.38,0.93,0.38,NO,NO,NO,NO,0,3,2,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.03 23:00
2019.01.04 02:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1286.77 (ATRx3.5),1292.15,1292.15,1292.15,1295.24,1286.06,1286.77,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.38,0.93,0.38,NO,NO,NO,NO,0,3,3,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.04 02:00
2019.01.04 03:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1288.56 (ATRx3.5),,1292.15,1292.15,1292.15,1296.89,1286.77,1288.56,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.58,0.93,0.61,NO,NO,NO,NO,0,4,3,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.04 02:00
2019.01.04 03:00:00,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,INITIAL,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1288.56 (ATRx3.5),1292.15,1292.15,1292.15,1296.89,1286.77,1288.56,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.13,0.00,0.00,0.00,0.00,0.58,0.93,0.61,NO,NO,NO,NO,0,4,4,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.04 03:00
2019.01.04 03:17:40,2,2019.01.03 08:00|MACrossEntry|LONG|8,Bullish MA Cross (Confirmed),LONG,TP0_HIT,TP0_PARTIAL,TP0,,1292.15,1292.15,1292.15,1297.91,1288.56,1288.56,1283.99,1321.42,1343.37,8.16,106.95,0.13,0.12,0.01,4.94,4.94,4.94,0.71,0.93,0.71,NO,YES,NO,NO,1,4,4,0,0.00,TRENDING,ASIA,MACrossEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2019.01.04 03:00
